0	1
0.1	0.965837
0.2	0.938256
0.3	0.919534
0.4	0.911168
0.5	0.913851
0.6	0.92752
0.7	0.951479
0.8	0.98456
0.9	1.02531
1	1.07218
1.1	1.12363
1.2	1.17824
1.3	1.23478
1.4	1.2922
1.5	1.34965
1.6	1.40646
1.7	1.46211
1.8	1.51622
1.9	1.56852
2	1.61882
2.1	1.667
2.2	1.713
2.3	1.75681
2.4	1.79843
2.5	1.83789
2.6	1.87526
2.7	1.9106
2.8	1.94397
2.9	1.97546
3	2.00515
3.1	2.03312
3.2	2.05945
3.3	2.08423
3.4	2.10753
3.5	2.12943
3.6	2.15001
3.7	2.16933
3.8	2.18748
3.9	2.2045
4	2.22047
4.1	2.23545
4.2	2.2495
4.3	2.26266
4.4	2.27499
4.5	2.28654
4.6	2.29735
4.7	2.30747
4.8	2.31694
4.9	2.3258
5	2.33409
5.1	2.34183
5.2	2.34907
5.3	2.35584
5.4	2.36216
5.5	2.36806
5.6	2.37357
5.7	2.37871
5.8	2.3835
5.9	2.38798
6	2.39215
6.1	2.39604
6.2	2.39966
6.3	2.40304
6.4	2.40618
6.5	2.40911
6.6	2.41183
6.7	2.41437
6.8	2.41673
6.9	2.41892
7	2.42096
7.1	2.42285
7.2	2.42462
7.3	2.42625
7.4	2.42777
7.5	2.42918
7.6	2.43049
7.7	2.43171
7.8	2.43284
7.9	2.43388
8	2.43485
8.1	2.43575
8.2	2.43659
8.3	2.43736
8.4	2.43807
8.5	2.43874
8.6	2.43935
8.7	2.43992
8.8	2.44044
8.9	2.44093
9	2.44138
9.1	2.44179
9.2	2.44218
9.3	2.44254
9.4	2.44286
9.5	2.44317
9.6	2.44345
9.7	2.44371
9.8	2.44395
9.9	2.44417
10	2.44437
